Word,Meaning in English,Meaning in Norwegian
dust,powder of small particles,slang for a jerk
smell,odor,loud sound
karen,woman's name,the guy
bra,woman's undergarment,good
god,deity,good
time,time,hour
her,female pronoun,here
gate,door or portal,street
gift,present,poison or married
